type,nric,name,contact,rate,hours,salary
PT,F2879124I,Harley,91738705,40,128,
PT,G2162825P,Barris,90902910,40,134,
PT,G7028612T,Andre,91586811,40,149,
PT,G8804899R,Dev,88713923,60,56,
FT,G5935054J,Florry,93722656,,,7642
FT,F3295152O,Lauritz,94789932,,,5657
FT,G9637986L,Monroe,98000448,,,3936
FT,F4203985B,Van,99169660,,,4198
PT,F4954357C,Correna,87283476,40,72,
PT,G8771450I,Gabe,99374808,60,99,
PT,F2156653R,Salmon,93241934,60,47,
FT,G6928407A,Mitchell,92236235,,,5158
FT,G1450945B,Antonie,92133050,,,9563
PT,F9627284B,Babs,97301909,60,128,
FT,F2307865W,Aurilia,92166444,,,7307
FT,S7473431H,Wilburt,98495334,,,8969
FT,F0444907W,Adamo,97143304,,,4976
PT,G4832834C,Cullan,83081529,60,89,
PT,G6716982J,Karla,91667634,50,105,
PT,G9993714Q,Aeriela,80128363,60,98,
PT,S1460805T,Raviv,99219998,60,130,
PT,F8422204Y,Gillan,81038726,40,43,
FT,G8331389O,Joey,82903933,,,3716
PT,G6716775O,Dannie,99897052,60,157,
PT,F0918909W,Moria,88971155,40,44,
PT,T8063560X,Idell,92309335,40,142,
PT,G1782103K,Marybelle,99290008,60,45,
PT,G4235480H,Desi,89796532,60,81,
PT,S7452853R,Salome,86075358,60,81,
PT,G5402656M,Lynnet,99253366,50,85,
PT,G9076451U,Hanson,93670939,50,110,
PT,G1360886H,Luella,87622610,60,125,
FT,G7553594U,Verina,92851160,,,6346
FT,G5852056H,Sarita,96201486,,,4601
PT,S3238298D,Benedicto,92181333,60,52,
PT,G1294799R,Mira,93215384,60,104,
FT,G9707922O,Trixy,82982398,,,6662
PT,S2743497J,Joelie,83785027,50,50,
FT,F3249879K,Ardenia,89381499,,,6229
FT,F3036905T,Arlinda,82054724,,,3206
FT,F4904390Z,Kacie,91109391,,,5058
PT,G4188930T,Kermy,99971894,40,111,
FT,F0232876V,Loretta,95442107,,,9756
FT,S6439266Q,Glenn,87866869,,,7526
FT,G0602181G,Kynthia,94017699,,,4172
FT,T7211833V,Maynord,92520312,,,8143
PT,G7283747K,Faith,84876709,40,46,
PT,G9183436R,Avrom,82541475,50,94,
FT,T5128325K,Stevie,94880213,,,6731
PT,G7283469I,Kevan,97047975,60,72,
FT,G7505051N,Gretal,98133619,,,3236
FT,G6740511A,Wilburt,87297428,,,5734
FT,S2537969S,Graig,99481412,,,4951
PT,G6380855M,Doe,98333665,60,77,
PT,T8147922J,Meggi,89375766,40,140,
FT,T6092243P,Reuben,94374125,,,6375
