type,nric,name,contact,rate,hours,salary
PT,F2879124I,Harley,91738705,40,128,
PT,G2162825P,Barris,90902910,40,134,
PT,G7028612T,Andre,91586811,40,149,
PT,G8804899R,Dev,88713923,60,56,
FT,G5935054J,Florry,93722656,,,7642
EM,F8755343R,Neilla,80923613,,,
EM,G6892596I,Earvin,95437876,,,
FT,F3295152O,Lauritz,94789932,,,5657
FT,G9637986L,Monroe,98000448,,,3936
FT,F4203985B,Van,99169660,,,4198
EM,G1781923K,Daron,83269907,,,
PT,F4954357C,Correna,87283476,40,72,
PT,G8771450I,Gabe,99374808,60,99,
EM,G1551803V,Guillemette,81385683,,,
PT,F2156653R,Salmon,93241934,60,47,
EM,G3239630J,Maximilianus,91778908,,,
EM,G7258878W,Rock,80389591,,,
FT,G6928407A,Mitchell,92236235,,,5158
FT,G1450945B,Antonie,92133050,,,9563
EM,G8903157N,Faustina,92669098,,,
EM,F0531354H,Cory,81025636,,,
EM,F0892184D,Sileas,82945797,,,
PT,F9627284B,Babs,97301909,60,128,
EM,G9818638P,Prisca,96708658,,,
FT,F2307865W,Aurilia,92166444,,,7307
EM,T3940254A,Domeniga,96731809,,,
FT,S7473431H,Wilburt,98495334,,,8969
FT,F0444907W,Adamo,97143304,,,4976
EM,F8832636H,Emmett,83265268,,,
PT,G4832834C,Cullan,83081529,60,89,
PT,G6716982J,Karla,91667634,50,105,
EM,F6345296Z,Thaddus,99825087,,,
EM,G7229873Q,Wilhelm,83534078,,,
PT,G9993714Q,Aeriela,80128363,60,98,
PT,S1460805T,Raviv,99219998,60,130,
EM,G9938923T,Eran,88070655,,,
PT,F8422204Y,Gillan,81038726,40,43,
FT,G8331389O,Joey,82903933,,,3716
PT,G6716775O,Dannie,99897052,60,157,
EM,S7486862W,Trista,89573302,,,
EM,F7156030H,Waylan,98403167,,,
PT,F0918909W,Moria,88971155,40,44,
PT,T8063560X,Idell,92309335,40,142,
EM,G4837575T,Henri,98319901,,,
PT,G1782103K,Marybelle,99290008,60,45,
EM,G6876329J,Montgomery,83501616,,,
EM,F8243860H,Alysia,86699637,,,
EM,F4063407V,Marc,85547146,,,
PT,G4235480H,Desi,89796532,60,81,
EM,S3027947V,Demetra,89938395,,,
PT,S7452853R,Salome,86075358,60,81,
EM,G6837583H,Kristoffer,89405892,,,
PT,G5402656M,Lynnet,99253366,50,85,
EM,G7973501O,Christye,85566867,,,
PT,G9076451U,Hanson,93670939,50,110,
EM,F6778140H,Monroe,93948793,,,
PT,G1360886H,Luella,87622610,60,125,
EM,G1862571B,Ginevra,97483881,,,
FT,G7553594U,Verina,92851160,,,6346
EM,G4585914Q,Corabel,81886529,,,
FT,G5852056H,Sarita,96201486,,,4601
PT,S3238298D,Benedicto,92181333,60,52,
PT,G1294799R,Mira,93215384,60,104,
FT,G9707922O,Trixy,82982398,,,6662
PT,S2743497J,Joelie,83785027,50,50,
EM,T3719629O,Joela,97788521,,,
FT,F3249879K,Ardenia,89381499,,,6229
FT,F3036905T,Arlinda,82054724,,,3206
FT,F4904390Z,Kacie,91109391,,,5058
EM,T2951397Q,Zuzana,82679869,,,
PT,G4188930T,Kermy,99971894,40,111,
FT,F0232876V,Loretta,95442107,,,9756
EM,F1327599R,Nerty,88876001,,,
EM,F2016806J,Malena,82283768,,,
FT,S6439266Q,Glenn,87866869,,,7526
EM,G8023668V,Aeriela,94928394,,,
EM,G8472144S,Ronny,95195754,,,
EM,G2715549E,Leda,94214993,,,
FT,G0602181G,Kynthia,94017699,,,4172
FT,T7211833V,Maynord,92520312,,,8143
PT,G7283747K,Faith,84876709,40,46,
PT,G9183436R,Avrom,82541475,50,94,
EM,G3173933G,Magda,80788382,,,
FT,T5128325K,Stevie,94880213,,,6731
PT,G7283469I,Kevan,97047975,60,72,
FT,G7505051N,Gretal,98133619,,,3236
FT,G6740511A,Wilburt,87297428,,,5734
EM,G2987172I,Elmo,95125720,,,
EM,T7740350B,Noelyn,87378115,,,
EM,T6897652G,Ainslee,97148241,,,
EM,S3234834I,Kristen,88125426,,,
FT,S2537969S,Graig,99481412,,,4951
PT,G6380855M,Doe,98333665,60,77,
EM,F8490775T,Isidor,92208604,,,
PT,T8147922J,Meggi,89375766,40,140,
EM,G8068073X,Jackelyn,88445072,,,
EM,T1429026L,Helge,94644103,,,
EM,F8787015E,Pearla,98707575,,,
EM,F2326975S,Jana,83484333,,,
FT,T6092243P,Reuben,94374125,,,6375
